log_no_quest_id, gid, cid, log_ts, aid, a_detail, uid, vid, sessionid, session_seqid, client_ts, multiplayer_uid, multiplayer_seqid
1725, 202207, 3, 1654196598, 3, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, A24824F7-A1E7-0848-7751-951ECCDCFCD8, 1, 1654196599121, NULL, 0
1726, 202207, 3, 1654196602, 5, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, A24824F7-A1E7-0848-7751-951ECCDCFCD8, 3, 1654196603274, NULL, 0
1727, 202207, 3, 1654196703, 3, [], 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, D7C7132B-524E-D768-7A78-DCF1B47050E0, 1, 1654196704140, NULL, 0
1728, 202207, 3, 1654196820, 2, {"version":"A"}, 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 089A1498-F534-41B0-1685-2D1FF4E06D6D, 367, 1654196820404, NULL, 0
1729, 202207, 3, 1654196827, 2, [], 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, 9E6D31A4-4AEC-76AF-188C-58E76E756D4A, 1, 1654196826953, NULL, 0
1730, 202207, 3, 1654197023, 2, [], 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 0BDD562C-1BD7-F005-A58C-EDF45E7FDC65, 1, 1654197023904, NULL, 0
1731, 202207, 3, 1654197026, 5, {"version":"A"}, 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 0BDD562C-1BD7-F005-A58C-EDF45E7FDC65, 3, 1654197026918, NULL, 0
1732, 202207, 3, 1654197158, 2, [], 603AAFB2-A0AB-20C7-FC14-6DB541074317, 1, C89EAB02-7C5A-DEEF-4E1C-ED9688F5DF90, 1, 1654197158443, NULL, 0
1735, 202207, 3, 1654197497, 2, [], BAB22DA1-A185-B895-057A-C52E7719C98B, 1, 56FF6B8A-4970-9D2F-5F57-D03C049A7A61, 1, 1654197494449, NULL, 0
1736, 202207, 3, 1654197547, 5, {"version":"B"}, BAB22DA1-A185-B895-057A-C52E7719C98B, 1, 56FF6B8A-4970-9D2F-5F57-D03C049A7A61, 62, 1654197544944, NULL, 0
1737, 202207, 3, 1654197788, 2, [], 29849400-1CF5-0A03-8294-442AB19E8EE6, 1, 1DCD5972-5D04-E06C-0520-34FA9E97565E, 1, 1654197788573, NULL, 0
1761, 202207, 3, 1654280902, 2, [], BAB22DA1-A185-B895-057A-C52E7719C98B, 1, 84822E24-8CBA-FEA7-A43F-A13C4E9C4B4E, 1, 1654280899861, NULL, 0
1762, 202207, 3, 1654280905, 5, {"version":"A"}, BAB22DA1-A185-B895-057A-C52E7719C98B, 1, 84822E24-8CBA-FEA7-A43F-A13C4E9C4B4E, 3, 1654280902460, NULL, 0
1763, 202207, 3, 1654280906, 3, {"version":"A"}, BAB22DA1-A185-B895-057A-C52E7719C98B, 1, 84822E24-8CBA-FEA7-A43F-A13C4E9C4B4E, 5, 1654280903548, NULL, 0
